'conectar'|tupachiy
aborrecer|ñakay; chiqniy; chiqnipakuy
aborrecible|millakuy; chiqnina; millana; millakuna
aborrecido|chiqnisqa
aborrecimiento|milla; chiqniy; chiqnipakuy
abortar|waqlliy; sulluy
aborto|sullun; sullu
aborto de animales|sullun; sullu
abotonar|ch'itay
abovedar|k'uktiy
abra|qaqa; q'asa; apachita
abrasador|ruphay; ruphaq; kanaq; rupha
abrasar el fuego|ruphay
abrazar|marq'ay; ukllay; uqllay; maq'alliy; mak'alliy
abrazarse|uqllanakuy; ukllay; uqllay
abrazo|marq'ay; uqllana; uqllay
abrazárselo|uqllapuy
abre la boca|simiykita kichay; simiykita kichay!
abrevadero|ukyana; ufyana
abrevar|yakuchiy
abreviación|pisichay; chiqanchana
abreviado|sispa
abreviar|taphkay; taphkachiy
abreviar o acelerar un trabajo|usqhay; utqhay; usqay
abreviatura|pisichay
abrigado y techado|qhatasqa; qatasqa
abrigar|qhatay; qatay; p'istuy; q'uñichiy; k'illpay
abrigarse|qhatakuy; qatakuy; q'uñikuy
abrigarse con la ropa|p'intuykukuy p'achata; p'achata huñuykukuy
abrigo|qhata; qata; qhatana; qatana; p'istuna
abril|abril; ayriwa killa; ayriway killa; ariwakikilla; ariwa killa; aymuraykilla; ariway kamay killa
abril (en la era de los Inkas: Festejo del Inka. En este mes, el Inka, los principales, los mandones, los indios pobres, las aves y los ratones tenían qué comer. En la plaza pública, el Inka cantaba el cantar de los carneros y de los ríos. Los señores principales practicaban juegos y regocijos)|inka raymi killa
abrir|kichay; p'utumuy; ch'ustiy; ch'iqtay; chiqtay; ch'iktay; qhataray; laqray; raqray; kichariy; phaskay; paskay
abrir brecha|khallay
abrir con llave|llawiray
abrir los ojos o centros perceptivos sutiles|ñawi kichay
abrir surcos|surk'ay
abrirse la flor|phanchay
abrirse un tumor que ha formado pus|t'uqyay
abrochar|t'ipay; ch'itay
abrojo|kipu; k'ipu
absceso|ch'upu; chupu
abscisa|q'achinchu tinkuq sikwi
absolutamente todo|q'ala
absolutamente todos|q'alitu; lliwlla; lluylla
absolver|phaskay; paskay
absorber|suq'uy; ch'unqay; chunqay
absorver|upiy
abstención|sasi
abstracción|haqi
abstracto|llapanllisqa; haqi; llulmisqa
abstraer|llulmiy; llapanlliy
abstraído|t'ukuq
absurdo|mana chanin
abuela|paya; hatun mama; hatucha; mamaku; awila
abuelo|kuraqtayta; apuski; machula; awichu; awki; awilu; awkillu; apucha; hatun tata; hatun tayta; taytaku
abuelo (tratamiento)|machullay
abultado|rakhu
abultamiento en el cuello|q'utu
abultarse|punkiy
abundancia|may chhika; waliq; maylla; usuy; mikhuna; mihuna
abundante|wayuq; waliq; chaytukuy; ashkha; ashkhas; achkha; ashka; askha; yupa; yupata; chhika
abundante en frutos|wayuq
abundar|llinp'ay; llimp'ay; ashkachay
aburrirse|amichikuy
abusar|abusay; alquchay; tanqaykachay
abusivo|atipayniyuq
acabado|tukusqa; tukuchasqa
acabado de fermentar|puqusqa
acabar|taphkay; tukuchiy; paqway; p'uchukay; tukuychay; t'ukuychay; usay; tukuy; tukukuy; qispichiy; qhispichiy; pallway
acabar con traición|q'aruy
acabar de ...|-rqu-; -ru-
acabar de comer con los dientes la carne adherida a un hueso|ankhiy
acabar de urdir|allwirquy
acabar negocios y riñas difíciles - que es allanar en lo moral|kuska kachay
acabarse|qullukuy; p'uchukakuy; tukuy; tukukuy; qulluy; pisiy
acabarse antes de nada|waqway
acabárselo|tukupuy
acaca|hak'akllu; akakllu; hak'aqllu; hak'achu
acalambrarse|susunkhay; susunkay; susunk'ay
acallar|upallachiy
acalorarse|q'uñikuy
acantilado|sayaq
acaparador|uqu; riskataq; qasi uqu
acaparar|waqaychay
acardenalado|q'uyuyasqa
acariciar|waylluy; luluy; waylluykuy; wayllukuy; wawachay; munaray; khuyay
acariciar (sentido sexual)|llankhay
acariciar al niño|irqichay; irqita munay
acariciarse mutuamente|wayllunakuy
acariciarse y regalarse las palomas con el pico y besarse|chinunakuy
acaro|khiki; qhapa
acarosis|khiki
acarrear|astay; astakuy
acaso|akasu; ichá; icha; ichapis; icha
acaudalado|qhapaq; allinniyuq; usapu
acaudalarse|qhapaqyay
acceder|ariniy; uynikuy; huñiy
acceso|haykuna; yaykuna; punku
acceso epiléptico|kharkatiti
accidentado|ch'ullqi
accidental|mayninpi kaq
accidente|paylla; llaki; mayninpi kaq
accion de asustar|manchay
acción|llank'ay; llamk'ay; llankay; ruway; akna
acción creativa|ruway
acción de dormir|puñuy
acción de ofrendar dando a la mano de otro|haywakuy
acción de poner la olla sobre el fogón|churpuy
acción expresiva|rimay
acechar|watiqay
acecinar|ch'arkiy
acedarse|p'usquy
aceite|wira
aceite de maíz que se acumula en la superficie de la chicha en fermentación|lluq'u
acelerar|usqhachiy; usqaychay; usqhachay
aceptable|uyniy
aceptación|chhaski; chaski
aceptar|chaskiy; ariniy; uyniy; niy; ñiy; uynikuy; uniy; huñiy
acequia|larq'a; yarqha
acer calor (con sol)|ruphayay
acera|manya
acerbo|puchu; p'usqu; puchqu; k'allku; k'arku
acercar|chinpachiy; q'imiy; qayllachiy; kayllachiy; qayllachay; k'askachiy; asuchiy
acercar(se)|q'imiy
acercarse|chimpay; chinpay; sispay; q'imiy; qayllay; chimpaykamuy; manyayay; achhuyuy; chimpaykuy; achhuy; sispaykamuy; asuy; asuykuy; suchuykuy; qayllakuy; q'imikuy; achhuykuy; sispaykuy; anchhuykuy
acercarse (altavoz)|k'askamuy
acercarse (en dirección del hablante)|achhumuy
acercarse hacia aquí|asuykamuy
acercárselo|qayllapuy
acertar|watuy
acertar (tirando algo)|chayachiy
acertijo|watuchi; watuy; imasmari
achacar|tumpay; tunpay
achacoso|unphu; chullchu
achanccaray|achanqara; achanqaray; achankaray
achaque|layku; rayku; achaki
achatado|p'alta; p'allta; luqhu
achatar|p'alltachay; p'altachay; p'arpay; t'astay
achicar|k'utuchay; taksachay; k'utuyachiy; huch'uyyachiy; huch'uychay
achicarse|q'intikuy
achicoria|pilli-pilli
achiote|achiwiti
achiote - arbusto cuyo fruto es usado como colorante en las comidas. en la medicina popular cura el mal llamado pián (cuchipe)|achiwiti
achira|achira
achira (planta cannácea cuyas hojas sirven para envolver tamales y humitas)|achira
achita silvestre|hat'aqu
achogcha|achuqcha
achote|achiwiti
achupa|achupalla; achupaya
achupalla (planta silvestre y espinosa como la piña)|achupalla; achupaya
aciago|qhincha
acicalarse|allichakuy
acidez|k'allku; k'arku
aclamar|t'akllarikuy; t'aqllarikuy
aclaración|illapa; illa
aclarado|sut'ichasqa
aclarar|ch'uwayachiy; sut'inchay; achikyay; chiqaqchay; chiqachay; qusiyachiy; sut'ichay; sut'iyay; ch'uwachay; ch'uyachay
aclarar un asunto|qhawachiy
aclararse|ch'uwayay; usyay; achikyay
aclararse el cielo|usyay
aclararse la oscuridad|achikyay
aclimatarse|yachakuy; yachay; yachakay
acluclillarse|chukuy; chukuri(ku)y
acné|muchhi; suchi
acobardar|manchachiy
acobardarse|q'iwakuy
acodar|k'uchuychay; q'inchuchay; q'inchuy
acogedor|chaskiq
acoger|qurpachay
acogida|chhaski; chaski
acolchar|t'iqiy
acollar|hallmay
acomodado|tiyapuyniyuq
acomodar|samachiy; kusichiy; kamariy; allichay
acompañado|yanasqa
acompañado de|-wan khuska; -wan tanta
acompañador|pusaq
acompañar|riysiy; akumpañay; pusay; yanay
acompañar a|hañakuy
acompañar a alguien|puriysiy
acondicionar|allichay
acongojar|llakichiy
acongojarse|phutikuy; llakikuy; phutiy
aconsejar|k'amiy; yuyay quy; rimay; yachaykachiy; kunay; yuyaychay; kunsihay
acontecer|tukuy
acopiador|palliri
acopiar|qhuchuy; tantay
acopio|tanta
acordar|kuskachay; uyniy
acordarse|yuyariy
acortamiento|pisichay; chiqanchana
acortar|taphkay; taphkachiy; taksachay; huch'uyyachiy; pisichay; huch'uychay; q'istiy
acortarse|k'uytuy; huch'uyyay
acosar|takuriy; qhatipayay; qatiriy; chalatay
acostado|siriq; winkusqamanta
acostar|siriy; puñuchiy
acostarse|puñuykuy; k'iray; sirikuy; wisch'uriy; siriy; kumpakuy; puñukapuy
acostumbrado|yachasqa
acostumbrado a fornicar|wachuqa
acostumbrar|yachachiy
acostumbrarse|yachakapuy; yachakuy; yachay; yachakay; amay
acotar|tupuy; saywachay; unanchay
acre|puchu; p'usqu; puchqu
acrecentar|askhayachiy; wiñachiy; askhachay; achkhachay; hatunyachiy; miray
acrecentarse|askhayay; ashkayay; yapay; yapakuy
acreedor|manuq
acsu (saya de las mujeres indígenas)|aksu; aqsu
activación de la semilla|muhu rikch'ay
actividad|ruwana; llank'ay; llamk'ay; llankay; ruway; tramiti
activo|k'uchi; ch'iti
acto|ruway
acto de juntar dos burbujas de energía semejantes|masichakuy
actual|wiñaynintin; wiñaypura; kunanpi; kunan
actual Tihuanacu, monumento arqueológico situado al sur del lago Titikaka|Tiyawanaku
actual isla del sol en el lago Titicaca (<peña de plomo o <(aym.) que está soldado)|Titiqaqa
actualidad|kunan pacha; kuna pacha
actualmente|kunan; kunanpacha
actuar|hinay
acuaducto|larq'a; yarqha
acuchillar|khariy; t'uqsiy; t'urpuy
acuclillarse|chukuy
acudir|asuykuy; riy
acueducto|larq'a; yarqha
acuerdo|rimanakuy; ña rimasqaña
acumulación|qisa
acumulador|tawqaq
acumular|waqaychay; muntunay; tawqay; tantay; taqiy; qhuchuy; suntuy
acunar|chhukuy
acuoso|liqhi; unu
acusación|huchachakuy; simiwan tupapakuy; ch'atakuy; tumpay; tunpay
acusación mutua|tumpanakuy
acusado|tumpasqa
acusador|ch'ataq
acusar|simiwan tupapakuy; tumpay; tunpay; ch'atakuy; ch'atay
acusar en fálso|tumpay; tunpay
acusarse|ch'atakuy
acuñar|q'imiy
acá|-mu-; kayman; kaypi
adaptar|kamachiy; amañay
adaptarse|yachakuy; yachay; yachakay
adarga|qirar; pulqanqa; wallqanqa
adarga de cuero cubierta de plumas de colores|qirar; pulqanqa; wallqanqa
adarga grande|markaqirar
adarga grande de los capitanes|markaqirar
adelantar|ñawpachiy; ñawpay
adelantar(se)|ñawpay
adelantarse|qhitiriy; ñawpariy; ñawpaykuy; ñawpay; llalliy; ñawparikuy
adelante|ñawpaqpi; qhipan; ñawpa; ñawpaq
adelante (tiempo)|qhipa
adelentarse|ñawpay
adelgadecer enormemente|tulluyaykuy
adelgazar|ñañuyay; last'ay; k'aspiyay; sillp'ayachiy; ñañuchiy; ankuyay; tulluyay
adelgazarse|ñañuyay; llañuyay; k'aspiyay; kuyayaykuy; llapsayay
además|ñataq; astawan; -ñataq
adenitis|q'iliti
adentrarse|haykuy; yaykuy; waykuy
adentro|ukupi; ukhupi; ruri; ukhu
aderezador de cabellos|hut'ukuy kamayuq
aderezar|allichay
adherir|k'askakuy; k'askachiy; k'askay
adherirse|k'askakuy
adicional|yapakun; yapaynin
adicionar|huñuchay; yapay
adición|yapan; paltachi; yapalliku; yapa
adinerado|qhapaq; tiyapuyniyuq; allinniyuq
aditamento|yapa
adivina|watuq
adivinación en coca que hacen los chamanes andinos|watuy
adivinanza|watuchi; watuy; watuchunaku; imasmari
adivinar|watuy; watuchiy; musyay
adivino|umu; watuq; qhawaq
adjetivo|rikch'ayrimana; sutiq ranpaqnin
adjudicar nombre|sutichay
adjunto|k'akasqa; tanta; kuska; khuska; kuska churasqa
administrador|kamaq
administrar|kamachiy; kamay
administrar medicamentos|hampiy; hanpiy
admiración|añay; uti
admirar|lirpukuy; t'ukuy
admitido como evidencia|iñisqa
admitir|chaskiy; ariniy; uyakuy
adobe|arwi; aruwi; adubi; tika
adobera|tikana
adolecer de sonambulismo|muspay; musphay
adolescente|warma; maqta; maqt'a; wanra; warma; malta; purun qura; wayna; yuqalla
adolescente (mujer)|p'asña; p'ashña
adolescente (varón o mujer)|warma
adolorido|nanasqa; phiri
adoptado|uywasqa
adoptar|irqichakuy
adoptar (cuando un hombre adopta)|churichakuy
adoptar (cuando una mujer adopta)|wawachakuy
adoptar a un hijo|churichakuy
adoptar a una mujer por madre|mamachakuy
adoptar por hijo|churichakuy
adoptar una madre|mamachakuy
adoptarse por hijo o hija|wawachakuy
adoquinador|kallkiq
adoquinar|kallkiy
adoquín|khallki
adoquín (circular)|qalla
adorable|much'ana
adoración|much'a; yupaychay; much'ay
adorada|munakusqa
adorado|much'asqa
adorar|munakuy; yupaychay; much'ay; hap'ipakuy; khuyay
adoratorio|wak'ayupaychana
adormecer|tunuyachiy; puñuchiy; susunkhay; susunkay; susunk'ay
adormecerse|k'aywiy; tunuyay; puñunayay; susunkhay; susunkay; susunk'ay
adormecerse (el pie)|utiy
adormecerse parte del cuerpo|susunkhay; susunkay; susunk'ay
adormecido|tunu
adormecimiento|uti
adormilarse|k'aywiy
adormitar|puñuy aysay
adormitarse|k'aywiy
adorna|t'ikancha
adornado|achalasqa; tupaq; t'ikanchasqa
adornar|t'ikanchay; t'ikachay; allichay; allinchay; k'achachay; achalachiy; t'ikanchay; sumaqchay
adornar con banderines o flores|t'ikanchay; t'ikachay
adornar con borlas|pulluy
adornar con plata|qulqichakuy; qulqichay
adornarse|achalakuy
adornarse y vestirse muy hermosamente (guerrero)|wallparikuy
adorno|t'ikancha; achala; warawa
adorno de guerra en el pecho|purapura
adorno de hilo puesto en los tejidos|q'aytuncha
adorno del vestido|wallparikuykuna
adorno guarda|pallay
adorno supérfluo|warawa
adosar|q'imiy; t'iksuy
adquirir|usachiy; rantiy; haypay; taripay; tarpay
adquirir color dorado (ref. plantas, en los Andes coincide con la época seca)|qarway
adquirir forma esférica o circular|muyuyay
adquisición del habla|simi t'uqyachiy
adquisición retribuida en el acto|makipura
adulador|misk'i simi; qama; llunk'u
adular|llunk'upayay; llunk'uy; t'aqlapayay
adultera|pampa warmi
adulterar|hawanchay (qusanta, warminta); ayuy; wasanchay; sakway; wachuy
adulto|machu; sayaq runa; wiñay hunt'asqa
adulto (hombre que concurre a las obligaciones comunales)|sayaq runa
adulto, viejo y sabio|yuyaq
adulón|llunk'u
advenediza|k'aka imilla
advenedizo|mitma; mithmaq; mitmaq; tumaqaya
advenedizo en el pueblo|karu runa; karuruna
adverbio|hinarimana; simichaqpa k'askaqnin
adversario|awqa; hayu
adversario temporal en algún juego o deporte|tinkuqmasi
advertencia|waqya
advertir|rikuy; rikhuy; willay; yuyampay; musyay; anyay
adyacente|pata; qaylla; sawa kaq; sispa kaq; qaylla kaq
adónde?|mayta?; maytan?
adúltero|ayu; wachuqa; wasanchay; qhincha
aerofagia|wisa punkiy; wayra millp'uy
aeroplano|lata p'isqu
aeropuerto|pista
afamado|mintasqa
afanado|afaniswan
afanarse insulsamente o por demostrar diligencia|wayraykachay
afanarse, aficionarse|-naya
afear|saqrayachiy; millaychay
afectar|chayachiy
afecto|munana; khuyakuy
afeitarse|pasikuy
afeminado|q'iwa; waqati; wawa wawalla
aferrado|takyasqa
afianzar|takyachiy
afición|munay
afijo|rimanayapaq
afilado|k'awchi; ñawch'i; q'awchi; t'upasqa; k'achi
afilar|ñawch'ichay; k'awchiy; t'upay
afirmar|takyachiy; chiqan niy
afirmativo|aricha; aricha nisqa
aflicción|llaki; llakiy; phuti; phutiy
afligido|llakisqa; phutisqa; p'utisqa; llakimana; afaniswan
afligir|llakichiy; aflihiy
afligir (a alguien)|llakichiy
afligirse|rukupakuy; phutikuy; llakikuy; phutiy
aflojar|wayachay; kachariy; wayay
aflorado|phanchasqa
aflorar|phanchay
afonía|ch'aka kay
afortunadamente|waliqta; waliqllata
afortunado|samiyuq; usapu; illayuq
afrecho|chhapa
afrentar|p'inqachiy
aftas de la boca|phasku
afuera|hawa; hawapi; hawanpi
afuera de eso|chay hawa
afónico|ch'aha; ch'aka
agachado|k'umu; kump'u
agachar|k'umuy; k'umuchiy
agacharse|k'umuykukuy; k'umuy; k'umukuy; kump'ukuy; k'umuykuy
agallas en plantas, causadas por insectos y acaros|bulita
agarrado|hap'isqa
agarrar|aypay; hap'iy
agarrar algo un momento|hap'iriy
agarrarse|hap'ikuy
agarrotado|phiri
agasajar|aypuy
agente|aqinti
agigantado|hatun karay; hatunkaray
agigantar|hatunyachiy
agil|k'uchi
agilmente|wayralla
agitado|phiña
agitar|chhaphchiy; tarantachiy; wat'aykachay; wat'atatay; q'iwiykachakuy; kharkatitiy; watiy
agitar o mover un líquido con una paleta o cuchara|qaywiy
agitarse en el aire|maywiy; raphapapay
aglomerar|qulluy
agobiar|piqtuy; k'umuchiy
agobiarse|k'umukuy; k'umuykuy
agolparse|qhuchuykukuy
agonizar|arqhuy; wañuy p'itiy; p'itikutiy; nanaypi q'iwiykachakuy; wañurayay; k'aywiy; wañurayay; wañunayay
agorero|watuq
agostarse|qarway
agosto|sitwa killa; situwa killa; qhapaq situwa killa; qhapaq sitwa killa; chakra yapuy tarpuy killa; chakra yapuy killa; agustu
agosto (en la era de los Inkas: Mes de romper (arar) la tierra. El Inka y todo el reino asistían a la minga|chakra yapuy tarpuy killa; chakra yapuy killa
agotamiento|p'uchukay
agotar|tukuy
agotar las fuerzas|naq'uy
agotarse|ansaqiy; saykuy; sayk'uy; tukukuy; pisipay; naq'iy; pisiy
agracejo|t'ankar
agraciado|munaycha; k'acha
agradable|kusaq; munay; tuki; munaysiri; k'acha; sumaq; misk'i
agradar|gustay
agradecer|pachiy; pachiykuy; pachikuy; añaychay; yusulpay; allichay; dyuspagaray; yupaychay; agradisiy
agradeciamento|añay
agradecimiento|paschi
agrandar|hatunyay; hatunyachiy
agrandarse|hatunyay; qhanqayay
agrario,a|pachakaqpa; wayllaqpa; pachakaman ñinasqa
agravar|llasachay
agraviar|k'amiy; lutiy; alquchay
agredir|maqay
agregado|yapa
agregar|tantay; chhapuy; chapuy; yapay
agresión colectiva a una sola persona|waykha
agresión mútua|waykhanaku
agriar|p'usquchiy
agriarse|k'allkuyay; p'usquy; qhatqiy
agricultor|chakra llank'aq; chakraruna; chakra runa
agridulce|qhatqi; qhati
agrietado|laqrasqa; raqrasqa; laqra; raqra
agrietadura y secamiento de la piel por efecto del frío|p'aspa
agrietar|laqray; raqray
agrietarse|laqray; raqray; laqrarpariy
agrietarse, rajarse|ch'iqtay
agrio|qhatqi; qhati; mana misk'i; siqi; hayaq; q'ayma; puchu; p'usqu; puchqu; k'allku; k'arku
agrupación|tanta; huñu; qhuchu
agrupado|hukllasqa
agrupar|qhuchuy; huñuy; tantachiy; tantay
agrupar a la gente por nacionalidades|suyuchay
agrupar apretadamente|ñit'iy; nit'iy; k'iskiy
agruparse|huñunakuy; qhuchukuy
agua|yaku; uni; unu
agua caliente|q'uñiyaku; q'uñiunu
agua clara|ch'uya; ch'uwa
agua cristalina|ch'uyaunu
agua de mar|q'ara yaku
agua dulce|misk'i yaku
agua llena de tierra|qhunchu unu
agua mezclada con algo otro|unu
agua salada|q'ara yaku
agua sucia|qhilliunu
aguacate|paltay; pallta; palta
aguacero|chirma; para
aguada|yaku
aguado|ch'uya; ch'uwa
aguafiestas|hista piirdichi
agual|yaku
aguanoso|q'icha; unu
aguantar|awantay; muchuy
aguapié|q'ayma; siqi
aguapié de chicha|q'ayma
aguar|yakuyachiy; unuyachiy
aguardar|suyaykuy; suyariy; suyay
aguardar con interés|yuyarayay
aguardiente|tragu
aguardiente casero barato|t'uqsillu
aguarse|yakuyay; unuyay
aguas|yaku
aguaymanto|tuputupu; awaymantu; yawarchunka; kapuli
aguayo|awayu; apacha; lliklla
aguayo pequeño para llevar provisión de coca|istalla
aguaytador|chapatiyaq
agudo|t'urpu; q'awchi; ñawch'i; k'awchi; llañu; llañuy; ñañukunka
aguijonear|t'uqsiy; wach'iy
aguijón|wachu; wach'i
aguijón de los insectos que pican|wachu; wach'i
aguilucho cordillerano|waman
aguja|yarwi; yawri; akwa; awha; sirana
aguja grande|yarwi; yawri
aguja grande y gruesa|yarwi; yawri
aguja gruesa y larga para coser costales y roba gruesa|yarwi; yawri
agujear|t'uquy
agujerado de viejo (vestido, casa, pared, techo, frazada)|khallapacha; hutk'u (p'acha, wasi, pirqa, qata)
agujerear|t'uquy; t'uquchay; hutk'uy; husk'uy
agujereárselo|husk'upuy
agujero|hutk'u; husk'u; hutku; k'aqllu; tuqu; t'uqu; laqha; uchku
agujero de ciertos objetos|ñawi
agujero en la tierra|phutunku
agujero negro|inqa
agujón|yarwi; yawri
agujón grueso y grande de oro|tupu; t'upu
agusanarse|khuruykuy
aguti|siwayru
aguzado|t'urpu
aguzar|k'awchiy
agüero|taphya
ah ah - reír -|ahahay
ahijado|marq'asqa
ahitarse|thatay
ahogar|muqt'iykachay; lluphachiy; p'ultiy
ahogarse|lluphay; hip'iqay; mukikuy; hiq'iqay; lluphakuy; p'ultikuy
ahondar|ukhuchay; suniyachiy
ahondarse|suniyay
ahora|-sa-; -sha-; -ña; kaypi; kunan
ahora bien|hinaqa
ahora mismo|kunallan; kunanpacha
ahora recién|chayraq
ahorcado|warkhusqa
ahorcar|warkhuchiy; warkhuy; warkuy; walkay; sipiy
ahorcar a alguien|sipiy
ahorcarse|warkhukuy
ahorcárselo|warkhupuy
ahorquillado|palqa; pallqa; p'alqa
ahorrar|waqaychay; musiy; qulqi huñuy
ahuasca fina|nina awasqa; ñina awasqa
ahuecar|t'uquy
ahuecarse|ch'usuyay
ahumado|q'usñisapa
ahumar|q'usñichiy
ahusado|sayta
ahuyentar|qhatiy; qatiy; ayqichiy; manchachiy; qarquy; qharquy
ahí|chaypi; anchay; haqay; haqiy; anchaypi
ahí está|chayqa
ahí mismo|pachanpi
ahí nomás|chaylla
ahíto|saksasqa
airado|phiñasqa; phiña
airar|phiñachiy
airarse|phiñakuy; k'utupakuy
aire|wayra; samay
aire (interior)|samay
airear|wayrachiy; wayray
aislado|sapan; sapallan; sapanpi
aislar|t'aqay; karunchay
aislar la humedad|mitay
aislarse|sapachakuy; karunchakuy
ajado|naq'i; ch'anqasqa
ajar|ch'anqay; waqlliy; chimay
ajedrezado,a|qullqa pata
ajeno|hukpa; wakpa
aji|uchu
ajo macho (maleza)|wila-wila
ajustado|ch'ipu
ajustar|mat'ipayay; mat'iy
ají|ulupika; rukutu; ruqutu; luqutu; haya; uchu
al (con infinitivo)|-spa
al contrario|antis
al fin|antis
al final de|pasaqtaña; ... pasaqtaña
al frente|chimpa; chinpa
al instante|thuylla; tuylla
al lado de|pata; sispa
al lado de eso|chay hawa
al mismo tiempo|kuska; khuska; kikin tuyllapi; kikin pachapi
al otro lado|chimpa; chinpa
al revés|kutiqta; tikraqta kutiman
al revés te vestiste|kutiqta p'achallikunki; tikraqta kutiman p'achallikunki
ala|raphra; rapra; p'anqa; rikra; likra; riqra
ala de ave o insecto|likra
