'a || a || venir de arriba abajo;desprenderse;caerse;desplomarse;caer;derrumbarse
mondyikakuaa || a || escandalizar terroríficamente
mondyky || a || gotear;destilar;exprimir;hacer goteos;escurrir
mondyryry || a || desgarrar ropas;rajar;rasgar;romper;romper a girones desgarrando;romper con violencia;azuzar;inducir;arrancar a detelladas;acribillar;tirotear
mone || a || hacer mal olor;fracasar;hacer papelones
moneĩ || a || acceder;aprobar;asentir;permitir;afirmar;consentir;conceder;aceptar;otorgar;dar el sí;decir que sí;admitir
monga'u || a || emborrachar;embriagar;marear;atontar;perturbar;adormecer
mongaigue || a || perezar;hacer pereza;causar desgano;desganar;aburrir;dejar quemado
mongaráu || a || dislocar;recalcar;torcer;luxar;lastimar;causar torcedura violenta en una coyuntura más vulgarmente;desencajar una cosa
mongaria'y/mbokaria'y || a || hacer hombre;hacer joven;rejuvenecer;cuidar al joven hasta crecer
mongaruka || a || hacer u ordenar para que otra persona coma;hacer comer
mongaruporã || a || nutrir;proporcionar el alimento a un organismo
mongavaju || a || reprender mansamente;amonestar;zaherir;reconvenir;sermonear;retar;reprochar
mongay'u || a || hacer tomar mate caliente;servir mate
monge || a || hacer dormir;mecer;adormecer;provocar el sueño;hospedar
mongele'e || a || adular;lisonjear;halagar ficticiamente para sacar provecho;alabar;charlar
mongerasy || a || no dejar dormir
mongora || a || cercar;vallar;tapiar;acorralar;encerrar;sitiar;rodear;circundar
mongorapy || a || hacer un patio
mongovia || a || cambiar;reemplazar;substituir;relevar;trocar;reparar
mongu'e || a || mover;movilizar;sacudir para aflojar;menear;mover
mongu'i || a || moler;triturar;desmenuzar;destrozar;picar;pisar;deshacer;hacer pedacitos;romper en pedazos;destruir;atomizar;pulverizar
mongu'ichõ || a || triturar;trillar;hacer añicos;hacer totalmente polvo;hacer harina de una cosa;pulverizar
monguarahy || a || sacar al sol;poner o exponer al sol;asolear;solear;insolar;ventilar
monguarahy'ã || a || llevar a la sombra algo;hacer sombra;sombrear;hacer sombra;poner a la sombra
monguaru/mbokuaru || a || hacer orinar;provocar la micción
monguchu || a || sacudir;mover algo dentro de un recipiente
mongúi || a || derribar;echar;hacer caer;abatir;derrocar;defenestrar;arrojar;desprender;tumbar;despegar;separar;soltar;arrancar;perder una posición pirviligada;perder el empleo
mongurusu || a || crucificar;poner la cruz al fallecido;hacer cruz con el dedo en señal de desaprobación;poner en forma de cruz dos palos
mongyhyje || a || atemorizar;hacer temer;dar miedo;acobardar;amilanar;intimidar;apeligrar;amedrentar;sorprender;acobardar;ahuyentar;asustar;espantar
mongyra || a || engordar;engrosar;poner o ponerse gordo;embarazar;engrasar;aceitar
mono'õno'õ || a || reunir en grupos;agrupar;juntar en montones sin clasificar
moña'yña || a || deshacer una tela sacando la trama;deshilar;deshilachar
moñambyvo || a || hacer sonar la nariz
moñandy || a || engrasar;aceitar;lubricar;ungir
moñanga || a || ordenar;reglamentar;legislar
moñangareko || a || hacer cuidar
moñani || a || hacer correr;hacer correr una carrera
moñaña/moaña || a || pervertir
moñapymi || a || zambullir;sumergir;inundar;anegar;chapuzar;hundir;ahogar;asomar;clavar;meter debajo de un líquido o en agua
moñarõ || a || enfurecer;embravecer;azuzar;incitar;torear;desafiar
moñasãingo || a || colgar;suspender
moñauka || a || hacer perseguir
moñe'ẽkirirĩ || a || leer silenciosamente
moñe'ẽmondo || a || encargar;enviar recado
moñe'ẽngai/ñe'ẽngaity || a || maldecir
moñe'ẽngopa || a || interrumpir al que habla;enmudecer;hacer callar
moñe'ẽngu || a || enmudecer
moñe'ẽry || a || hacer fluir la palabra;encarnar el alma
moñe'ẽngue || a || endilgar;atribuir a uno chismes;difundir supuesta opinión ajena
moñeke'ã || a || hacer ladear;inclinar
moñembo'y || a || erguir;hacer poner de pie;poner en sentido vertical;hacer parar;plantar;enderezar
moñemboi || a || hacer desnudar;desnudar;desvestir
moñembojovái || a || hacer carar;enfrentar;aunar esfuerzos
moñembosako'i || a || hacer preparativos;hacer preparar;prepararse;aprontar;alistar;apestar para un viaje por lo general
moñembyai || a || descomponer;echar a perder
moñemi || a || esconder
moñemoña || a || criar;crear;reproducir;procrear;engendrar;hacer engendrar;perseguir
moñemu || a || hacer negociar;vender;comerciar
moñemuña || a || hacer crias;hacer criar;criar;crear;reproducir;procrear;engendrar;perseguir
moñemyrõ || a || encolerizar;ofender;hacer recelar;causar enojo;irritar;hacer resentir;frustrar;agraviar
moñeno || a || acostar;hacer acostar;poner una gallina a empollar;poner clueca;procrear
moñeñuvã/moñeñuã || a || hacer cobijar
moñepã || a || lisiar;lastimar;hacer cojo
moñepyrũ || a || originar;empezar;hacer empezar;principiar;comenzar;encabezar;estrenar
moñepytũ || a || hacer oscuro
moñerã || a || perseguir
moñesũ || a || arrodillar;hincar;postrar;hacer rodillar;poner de hinojos
moñesũpẽhẽ || a || hacer hincapié;hacer genuflexión;hacer reverencia
moñesyrũ || a || poner en hilera;poner en línea;hacer en teoría
moñeyke'ã || a || hacer inclinar;ladear
moñohẽ || a || hacer derramar
moñorãirõ || a || hacer pelear
moñotĩ || a || hacer tender la hamaca;poner de puntas
moñuã || a || abrigar;hacer abrigar;abrigar con una frazada
moñuvãitĩ/moñuĝuaitĩ || a || hacerse encontrar;causar encuentro
moñuhã || a || emboscar;engatusar;poner o hacer trampas;poner emboscada;entrampar;acechar
moñuvã || a || abrigar;hacer abrigar;abrigar con una frazada;defender
moñyñýi || a || encoger
moñyrõ || a || reconciliar;pacificar;sosegar;tranquilizar;perdonar;abuenar;apaciguar;aplacar;desenojar;desagraviar
mopa'ã || a || trancar;trabar;obstruir;atascar;atorar;afirmar algo en una superficie dura;sujetar;obstaculizar;ajustar;poner impedimento;atacar;pegar;retar;dar;aplicar;entregar;decir
mopanaku || a || encestar
moparãrã || a || hacer ruido;sonar;causar retumbo
moparĩ || a || hacer cojo o rengo;encojar;causar cojera;derrengar;lastimar la pierna
mopa'ũ || a || espaciar;intercalar;alternar;poner un intervalo;hacer un parentesis
mopa'ũjera || a || obturar
mopa'ũka'aguýpe || a || abrir espacio
mopavẽ || a || generalizar;universalizar
mopẽ'i || a || angostar
mopẽhẽ'ã || a || despedazar;fraccionar;dividir;cortar o romper en pedazos o partes
mopẽhẽngue || a || cortar o romper en pedazos;rebanar en partes
mopẽmopẽ || a || romper sin mirar medida ni cantidad
mopẽpẽ || a || romper en pedazos cortos
mopẽrẽrĩ || a || adelgazar;afinar
mopẽrõ || a || pelar;dejar pelado;rapar;esquilar;desplumar
mopẽsẽngue || a || cortar o romper en pedazos;apedazar
mopẽsỹi || a || alisar;pulir;planchar
mopeteĩteĩ || a || unir;aunar;conferenciar
mopicha'ĩ || a || ensortijar;enrular
mopini || a || tatuar;pintar la cara;maquillar
mopiresỹi || a || alisar o bruñir la piel
mopirĩ || a || producir o causar escalofrío;conmover;estremecer;impresionar;pasmar
mopiro'ysã || a || hacer refrescar;refrescar;refrigerar;causar bienestar
mopohã || a || recetar;medicar;medicinar;dar medicamento;proporcionar remedio para curar;solucionar un problema
mopohãjuka || a || intoxicar;envenenar
mopokã || a || ralear;escasear;disminuir;hacer infrecuente;poner ralo;espaciar;hacer solo
mopokãpokã || a || hacer de vez en cuando
mopopĩ || a || descortezar;raspar;rallar;roer;mondar;limpiar
moporã || a || embellecer;hacer bello;dar belleza;hermosear
mopu'ãndai || a || sublevar;amotinar;poner en tumulto
mopunga || a || indigestar;empachar;empalagar;ahitar;causar diarrea por ingerir algo indigesto
mopuru'ã || a || preñar;embarazar;engendrar;fecundar;poner en cinta;hacer o poner el ombligo
mopurũrũ || a || hacer ruido al masticar cosas crocantes;hacer castañear o crujir los dientes o los huesos
mopy'ahatã || a || endurecer el corazón;insensibilizarse;envalentonar;hacerse del valentón;hacer cruel e indiferente;animar;alentar;estimular
mopy'akyrỹi || a || emocionar;enternecer;despertar deseo
mopy'amirĩ || a || acobardar;amilanar;disminuir el estado de ánimo;atemorizar;dar miedo
mopy'andýi || a || sorprender
mopy'ỹi || a || frecuentar;menudear;repetir a menudo;acercar;acercar una cosa a otra;colocar muy cerca;poner uno tras otro;arrimar;juntar
mopyambu || a || hacer pisar fuerte
mopy'ãngata || a || afligir;inquietar;entristecer;hacer sufrir;preocupar
mopychi'ĩ || a || angostar;hacer angosto;estrechar;hacer plieges;menudear
mopyko'ẽ || a || ahuecar;hacer cóncavo una cosa;abollar;acanalar;ahondar
mopyno || a || hacer pedar
mopyrõ || a || encarnar;hacer pisar
mopyrũ || a || hacer apoyar el pie;hacer pisar con firmeza;encarnar
mopyryrỹi || a || hacer girar o bailar
mopysykuãi || a || rozar;hacer rozar;resbalar;pasar resbalando;raspar;rasar
mopysyrõ || a || hacer librar;libertar
mopysyrỹi/mbopysyrỹi || a || hacer resbalar;deslizar
mopytã || a || enrojecer;hacer enrojecer;teñir o pintar de rojo o colorado;colorear
mopytũ || a || obscurecer;entenebrecer;hacer obscuro;tupir
mopytuhẽ || a || hacer respirar;dar respiro;hacer descansar
moraĝe || a || apurar;urgir
moraguyrõ || a || enardecer sexualmente
morãnge || a || prohibir;impedir el uso o ejecución de una cosa
morãngue || a || malograr;frustrar;reemplazar
morauvõ || a || presagiar;pronosticar
morembe'y || a || limitar
moro'ysã/moho'ysã || a || enfriar;refrescar;refrigerar
moro'ysãmby || a || entibiar
mosã || a || engarzar;enhebrar;atar con cuerda;poner soga
mosãhara || a || desencabestrar
mosãju || a || enhebrar la aguja
mosakã || a || tranparentar;aclarar;diafanizar
mosãkã || a || aclarar;explicar
mosãmbuku || a || atar con soga larga;tener a distancia
mosãrambi || a || esparcir;dispersar;diseminar;propagar;difundir;divulgar
mosãso || a || poner en libertad;emancipar;desenlazar;liberar;libertar;poner en libertad;desatar;soltar lo que está atado
mosãuka || a || hacer atar;hacer apresar
mosẽ || a || desterrar;deportar;expeler;echar;echar fuera;despedir;separar;destituir;hacer salir;desalojar expulsar;eliminar
mosũ || a || batir;afinar;esparcir;recitar;declamar;divulgar;esparcir
mosunu || a || hacer tronar
mosũsũ || a || conmover;estremecer;hacer temblar;cardar la lana;batir el algodón;hacer temblar;desmontar;zarandear;encarmenar;conjugar
mosỹi || a || pulir;alisar;lijar;limar;suavisar;hacer resbaladizo;lubricar
motanimbu || a || encenizar;hacer ceniza;reducir a ceniza;limpiar con ceniza;incinerar
motare'ỹ || a || enemistar
motatatĩ/moatatĩ || a || ahumar;hacer humo;expulsar rápidamente;echar a alguien de un lugar sin más ni más
mote'õ || a || matar;hacer que muera;asesinar
motembiguái || a || hacer servil;ocupar un lugar no correspondiente
motembo || a || copular
motenonde || a || privilegiar;preferir;anteponer;colocar adelante;preceder;anticipar;deferir;encabezar;guiar;promover;avanzar;adelantar
myanyhẽ/myehenyhẽ/mohenyhẽ/motenyhẽ || a || llenar;colmar;completar;henchir;satisfacer;atiborrar;cargar mucho
motenyhẽte || a || llenar hasta el borde;colmar
motĩ || a || avergonzar;causar vergüenza;dar vergüenza;abochornar;sonrojar;hacer quedar mal a alguien
motĩe'ỹ || a || pervertir;hacer que alguien sea grosero;faltar el respeto;insultar;ofender;ser grosero e irrespetuoso
motĩĝua'ã || a || apolillar;hacer que algo se apolille;dejar que el grano tenga gorgojos
motĩjokua || a || atar la nariz
motĩmba || a || llenar de vergüenza
motĩmbo || a || hechar humo;ahumar;levantar polvo o polvareda;espolvorear;evaporar;vaporizar;fumar;fumigar;derrotar;vencer
motĩmbu || a || hacer aparecer la nariz
motĩndy || a || abatir;hacer gachar la cabeza;poner cabizbajo;humillar;avergonzar
motingua || a || atar la nariz
motĩguy/motinguy || a || poner bajo la nariz
motini || a || pavimentar;acalorar
motĩñe'ẽ || a || nasalizar
motĩpa'ã || a || constripar;trancar la nariz;emborrachar
motupã || a || endiosar
moturuñe'ẽ || a || despedir violentamente
motyãrõ || a || sazonar;madurar;hacer madurar fruto
motyre'ỹ || a || dejar;abandonar;desamparar;desatender;dejar huérfano;desistir;desechar
movã || a || ladear;inclinar;sesgar;torcer;oblicuar;desviar;desnivelar
movotõ || a || abotonar;poner botón
moypytũ || a || obscurecer
muñauka || a || hacer seguir;hacer perseguir
myacha'ĩ || a || arrugar;fruncir;atar pies y manos haciendo un bulto del cuerpo
myaĝe || a || apresurar;apurar;apurar los pasos;acelerar;dar prisa;agilizar;dinamizar;realizar más rápido;apremiar
myakã || a || encabezar;dirigir;dirigir un grupo;gobernar;liderar;poner cabecera
moakãguyry/myakãguyry || a || marear;aturdir;desornecer
moakãkarãi/myakãkarãi || a || peinar
moakãky'o/myakãky'o || a || lavar la cabeza;amonestar;retar;observar
moakãngyta/myakãngyta || a || poner almohada
moakãnundu/myakãnundu || a || afiebrar;calentar
moakãperõ/myakãperõ || a || pelar la cabeza;peluquear a cero;dejar calvo a alguien
myakãpichy || a || friccionar la cabeza
moakãsã/myakãsã || a || apresar;llevar preso;encarcelar;enlazar
myakate'ỹ || a || mezquinar;ahorrar
myakũruchĩ || a || paralizar;retorcer;acurrucar;tullir;contracturar;acalambrar
myakỹmba || a || mojar totalmente;humedecer completo;impregnar de punta a punta;empapar
myakytã || a || anudar;aterronar;hacer terrones;hacer nudos;hacerse una comida toda grumosa
myandy || a || encender;prender;acelerar;apresurar;ir velozmente;golpear violentamente;realizar algo velozmente
myangu'i || a || moler;triturar;desmenuzar;destrozar;deshacer;hacer añicos;hacer pedacitos;romper en pedazos;hacer harina o polvo de una cosa;pulverizar
myañaña || a || dar empelones;impeler;empujar de seguido varias veces
myapopẽ || a || rizar;ensortijar
myarõ || a || ofender
myasẽ || a || hacer llorar;provocar llanto
myataindy || a || alumbrar con vela;prender vela;poner o encender vela por extención alumbrar
myatapỹi || a || hacer fuego
myatatĩ || a || ahumar;hacer o hechar humo;levantar polvo o polvareda;espolvorear;evaporar;fumar;fumigar
myatãve/mohatãve || a || reforzar
myate'ỹ/moate'ỹ || a || causar pereza;perezar;hacer pereza
myatyrõjevy || a || recomponer;reformar;remendar;sanear otra vez;mejorar de vuelta;poner en orden otra vez
myatyrõjey || a || recomponer;reformar;remendar;remediar;sanear otra vez;mejorar de vuelta
myecha'ĩ || a || arrugar;fruncir;encoger el cuerpo por efecto de un dolor muy agudo;apresar;tomar preso;atar pies y manos haciendo un bulto del cuerpo
myengovia || a || cambiar;reemplazar;substituir;relevar;trocar;canjear
myenonde || a || encabezar
myesa'ã || a || advertir;llamar la atención
myesakã || a || aclarar;clarificar;esclarecer;explicar;poner en claro;definir;diafanizar;iluminar;hacer visible;hacer ralas;deslindar;dar claridad;transparentar;disipar neblina, humo;deslumbrar;encandilar;traslumbrar
myesapirĩ/mohesapirĩ || a || causar pestañeo
myesatũ || a || cegar;entuertar;dejar tuerto;dejar a uno sin la vista de un ojo
myesavã/mohesavã || a || dejar a uno bizco
myesyvõ || a || engarzar;enhebrar;hacer ensartar;encordar;poner o atar con cuerda;introducir;atravesar
myi'ỹ || a || permanecer en un lugar;estar quieto
myihatã || a || moverse fuerte
myirei || a || moverse sin querer
mymbañemonda || a || robar animales
mymýi || a || moverse multitudinariamente;remover;pulular
myrũ'i || a || fornicar;copular;mantener una relación sexual;hacer el amor
mytuẽ || a || sosegarse;consolarse
myñei || a || menstruar
ñe'ãhera || a || ensimismarse;quedarse absorto;abstraerse
ñe'ãjeru/ñe'ãjero || a || suspirar;desear
ñe'ãngajevy || a || arrepentirse
ñe'ãngu || a || recelar
ñe'ẽarandu || a || hablar;conversar;comunicarse;gorjear;contar
ñe'ẽguyguy || a || susurrar;cuchichear;murmurar
ñe'ẽho || a || irsele la palabra;escapársele a uno la palabra sin querer
ñe'ẽjoapy || a || contestar;replicar
ñe'ẽjopara || a || hablar jerigonza;castellanizar el guaraní;mezclar dos o más idiomas
ñe'ẽkuaa || a || saber hablar
ñe'ẽmbojevy || a || contestar;responder
ñe'ẽmbuku || a || ser charlatán
ñe'ẽmby'ỹi || a || ser hablador;no saber guardar secretos
ñe'ẽmeĝua || a || hablar inconvenientemente;calumniar;difamar
ñe'ẽmombo || a || ofender con la palabra en forma desafiante
ñe'ẽmonde || a || aconsejar
ñe'ẽmondo || a || ordenar;dar una orden
ñe'ẽmosẽ || a || despachar;expresar
ñe'ẽmyasãi || a || difundir la voz
ñe'ẽngai || a || provocar;insultar;incitar;echar indirectas
ñe'ẽngo || a || dejar de hablar
ñe'ẽnguasu || a || ser engreído
ñe'ẽnguru/ñe'ẽngururu || a || refunfuñar;hablar entre dientes
ñe'ẽnte || a || hablar sin razón;hablar en vano;disparatarse;desviarse
ñe'ẽñemi || a || hablar a escondidas
ñe'ẽpa'ã || a || tartamudear;atascarse hablando
ñe'ẽpochy || a || hablar airadamente con cólera y violencia
ñe'ẽpoguasu || a || hablar con voz grave
ñe'ẽpohýi || a || hablar desagradablemente
ñe'ẽpovã || a || rimar
ñe'ẽpyguy || a || hablar bajito
ñe'ẽrei || a || mentir;disparatar;hacer o decir locuras o disparates
ñe'ẽreirei || a || hablar sin pensar;ser indiscreto;hablar por hablar inconscientemente
ñe'ẽrendu || a || obedecer
ñe'ẽtavy || a || padecer de disantría;balbucear
ñe'ẽvai || a || hacer mal uso de la lengua;decir malas palabras;hablar groserías inconveniencias;decir palabras irrespetuosas;hablar por el prójimo
ñe'ẽvyvy || a || hablar en voz baja;murmurar
ñeakã'o || a || decapitar;degollar
ñeakãkarãi || a || peinarse
ñeakãky'o || a || lavarse la cabeza
ñeakãmbovava || a || dar muestras de desaprobación con la cabeza;mover la cabeza en sentido negativo
ñeakãnga || a || golpearse la cabeza
ñeakãrague'o || a || arrancarse el cabello
ñeakãrapu'ã || a || levantarse o alzar la cabeza;reconvalecer;convalecer
ñeakãtĩparo || a || caerse de bruces;dar salto mortal;voletejear
ñeakãupi || a || alzar la cabeza;incorporarse;erguir
ñeama || a || eclipsarse
ñeanga || a || jugar;hacer deporte
ñeangapa'i || a || intentar caminar;dar los primeros pasos
ñeãngeru || a || suspirar
ñeãngu || a || fastidiar;presentir algo;temer de algo que pueda suceder;recelar;inquietarse
ñeapamona || a || revolcarse;arrastrarse;echarse o rodar por el suelo
ñearongatu || a || abstenerse;desistir;retraerse
ñedesatina || a || extraviarse;errar el camino;perderse
ñedestina || a || ser llevado o condenado a vivir a otro lugar
ñe'ẽjoko || a || interrumpir al que habla;contestar;discutir;replicar
ñe'ẽreity || a || provocar;insultar;incitar;echar indirectas;ofender con el lenguaje;inducir a uno a que ejecute una cosa;contestar;discutir;replicar
ñeĝuahẽ || a || llegarse
ñehãikutu || a || escarbarse los dientes
ñehãimbe'e || a || estar afilado un elemento;afilarse
ñehãinga || a || mellar
ñehakã'o || a || cortarse las ramas
ñehe'ỹi || a || rascarse
ñehendu || a || ser oido;oirse
ñehenduka || a || hacerse oir;perorar
ñehenói || a || ser llamado;llamarse
ñehesyvõ || a || enhebrarse;ensartarse;engarzarse
ñehumbiri || a || herirse o magullarse levemente con rasguño o confusión;lastimarse;sangrarse levemente la piel;estrujarse
ñehundi || a || perderse;desaparecer;no saberse más el paradero
ñehunga || a || lastimarse con contusiones;contritarse
ñeimo'ã || a || parecerse a:
ñeirũmo || a || crecer;agravarse
ñekãngy'o || a || desperezarse
ñekañy || a || esconderse;ocultarse;perderse
ñekarãi || a || rasguñarse;arañarse;rascarse
ñekatĩ'o || a || desodorarse de la sobaquina
ñeke'ã || a || ladearse;inclinarse;ladear;inclinar
ñekirirĩ || a || omitirse;callarse
ñekontraria || a || estar en contra
ñekuã || a || ofrecerse
ñekuãmbopu || a || hacer sonar los dedos;castañear;castañetear con los dedos
ñekuãmbovava || a || negar;hacer seña negativa moviendo el dedo índice erguido
ñekuãve'ẽ || a || ofrecerse;prometerse
ñekũndaha || a || trajinarse ida y vuelta
ñemaimbe || a || tostarse
ñemama || a || cubrirse;cobijarse;abrigarse;taparse;arroparse
ñemaña || a || mirarse;observarse;contemplarse
ñehembesu'u/ñembesu'u || a || morderse los labios;sentirse descubierto o convencido;aguantarse
ñembi'uapo || a || hacerse la comida
ñembichy || a || asarse;tostarse;cocinar a las brazas;dorarse al fuego
ñembo'are || a || tardar;retardarse;demorarse;retrasarse;perder tiempo;resultar más tiempo o mayor duración
ñembo'ete || a || ensorberbecerse;enorgullecerse;enseñar verdaderamente;rezar verdaderamente
ñembo'i || a || partir en trocitos;cortarse en pedacitos;desmenuzarse;picarse;desmigajarse;pisarse;golpearse
ñembo'okupemiri || a || esconderse timidamente como detrás de la casa
ñembo'yvy || a || hacerse de tierra
ñemboaguasa || a || amancebarse;hacerse de compañera
ñemboaju || a || madurarse;madurar
ñemboapakua || a || enroscarse
ñemboape || a || proveerse de camino
ñemboapiru'a || a || hacerse o salirle a uno ampollas;ampollarse
ñemboapu'a || a || hacerse redondo u ovalado;arrollarse o envolverse una cosa en sí misma
ñemboapyka || a || proveerse de asiento;encarnarse
ñemboapyte || a || comer algo;ponerle algo entre el pecho y la espada
ñemboapytero || a || asomarse
ñemboasaje || a || tardar en llegar;llegar tarde en la siesta
ñemboasajepyte || a || llegar en plena siesta
ñemboaturu || a || acurrucarse;encogerse por el frio;aterirse
ñemboaty || a || juntarse;reunirse
ñemboatyra || a || erizarsele el pelo
ñemboavevo || a || hincharse;esponjarse;abotagarse;infatuarse;inflarse;envanecerse;engreirse
ñemboayvu || a || hablar;aconsejar;orar
ñemboete || a || ser engreido
ñembogua || a || cribarse;cernerse;colarse;deslizarse;escaparse;evadirse;filtrarse;saltarse a un lado para eludir algo;esquivarse
ñembogue || a || apagarse
ñembohái || a || agriarse;acidularse;decir palabras insípidas
ñembohaity || a || hacerse de nido;anidarse
ñembyaku/ñemboaku/ñembohaku || a || calentarse;enardecerse;acalorarse;exaltarse;irritarse;exitarse;entusiasmarse
ñembohakykuere || a || volver la espalda;huir
ñembohape || a || hacerse camino
ñembohapo || a || arraigarse;radicarse;establecerse;afirmarse;tomar pie;hechar raices las plantas
ñemboharái || a || jugar;divertirse a expensas de otro;divertirse persiguiendo
ñembohasa || a || hacerse pasar
ñembohaso || a || agusanarse
ñembohasy || a || hacerse o fingirse enfermo;hacerse o resultar difícil;simular enfermarse
ñembohe || a || caer sabrosa a uno alguna comida
ñemboheko || a || hacerse rogar;adular;hacerse el melindroso;dar vida o forma a algo
ñembohekovia || a || cambiarse;ser cambiado;sustituirse;ser sustituido;reemplazarse;ser reeplazado;devolverse;pagarse;resarcirse;recompensarse
ñembohéra || a || ponerse nombre;hacerse de un nombre;nombrarse;nominarse;llamarse
ñembohesavi/ñemboesa'i/ñembohesa'i || a || guiñar los ojos;hacer guiñada;guiñar
ñembohesaite || a || ariscarse;hacerse el montaraz;esquivarse
ñembohesajere/ñemboesajere || a || desorbitarse los ojos;dar vueltas los ojos
ñembohesape || a || hacerse alumbrar
ñembohesavera || a || mirar a todos ojos;mirar haciendo brillar los ojos
ñemboheta || a || aumentarse;multiplicarse;hacerse mucho
ñembohetia'e || a || ponerse de buen humor y optimista;animarse;avisarse;desperezarse;reanimarse;despabilarse
ñemboho'o || a || robustecerse;engordar;echar carne
ñembo'óga/ñembohóga || a || hacerse de casa
ñembohova || a || hacerse cara o rostro
ñembohovái || a || carearse;enfrentarse;contestarse;ponerse frente a frente;hacerse frente uno con otro;protestar;oponerse;objetar
ñembohovake || a || cofrontarse;carearse;ser careados;presentarse;ser comparado
ñembohovasy || a || ponerse serio
ñembohovavai || a || poner la cara fea;hacer morisqueta
ñembohovy || a || hacerse azul o verde;azularse;enverdecerse
ñembohugua || a || arrinconarse
ñembohuguái || a || hacerse cola y prado
ñembohuguy || a || hacerse sangre;hacerse antipático
ñembohyeguy || a || meterse en el agua hasta la panza;bañarse a medio cuerpo
ñembohyku || a || derretirse;licuarse;disolverse;hacerse líquido
ñembohykue || a || mojarse;empaparse;agregar líquido
ñembohypa || a || desecarse;agotarse
ñembohypy'a || a || congelarse
ñembohysýi || a || ponerse o ser puesto en fila o en hileras;enfilarse;enhilar;ensartarse
ñemboita || a || hacerse piedra;proveerse de piedra
ñemboja'o || a || ser dividido;dividirse;despedazarse;partirse;dividirse;distribuirse;prorratearse;seccionarse
ñembojára || a || adueñarse;enseñorearse;apropiarse
ñembojare || a || hacerse costra;hacerse mugre
ñembojari'i || a || formarse barritos o granos en la cara
ñembojaru || a || bromear;gastar broma;chancearse;jugar;embromar
ñembojati'i || a || apostemarse
ñembojavo'ói || a || embrollarse;enredarse;enmarañarse;atollarse
ñembojegua || a || adornarse;engalanarse;ataviarse;decorarse;enjoyarse
ñembojehe'a || a || mezclarse;confundirse
ñembojero || a || hacerse cruel
ñembojerovia || a || ser consentido;consentirse
ñembojevy || a || hacer contramarcha;contramarcharse;retrocederse;irse o volverse para atrás;desistirse;dar marcha atrás
ñembojo'a || a || agregarse;aumentarse;encimarse;superponerse;apilarse;sumarse
ñembojoaju || a || unirse;enlazarse;vincularse;adherirse
ñembojoapy/ñemboapy || a || añadirse;ser añadido;juntarse;ser juntado;agregarse;sumarse;unirse;ser unido;enlazarse;ligarse;aliarse
ñembojoha || a || sentirse irritado;estar mal humorado e intratable;ponerse o mostrarse de mal talante
ñembojoja || a || igualarse;ser igualado;ser comparado;uniformarse;ser uniformado;nivelarse o ser nivelado;ajustarse;empatarse;equipararse
ñembojovái || a || colocarse frente a frente
ñembojovake || a || ponerse cara a cara;carearse;enfrentarse;contestarse;ponerse frente a frente;hacerse frente uno con otro
ñembojuru || a || hacerse una boca
ñembojuru'i || a || hacerse de la boca pequeña
ñembojuruhe'ẽ || a || lisonjearse;halagarse
ñembojurukechẽ || a || hacer muecas despectivas con la boca;desaprovar torciendo la boca y los labios
ñembojy || a || cocinarse
ñembojyvajo'a || a || cruzarse de brazos
ñemboka'aguy || a || hacerse bosque;hopedarse en el bosque
ñembokacha || a || sacudirse;moverse como péndulo;agitarse;tambalearse
ñembokarai || a || hacerse el señor
ñembokaraiguasu || a || formalizarse los niños;dejar de ser díscolos y malos;corregirse;hacerse hombre formal o serio;rectificarse de conducta
ñembokaria'y || a || rejuvenerse;remozarse;hacer del hombre guapo;hacerse el joven no siendolo todavía
ñembokate || a || hacerse el aristócrata;ponerse elegante;acicalarse;adornarse;empavesarse;emperegilarse;adesentarse;aburguesarse
ñembokatupyry || a || adiestrarse;hacerse hábil;ser competente
ñemboku'akarapã || a || doblar el espinazo;alexionar las vertebras
ñembokua || a || agujerearse;hacerse agujero;ser agujereado;taladrarse;horadarse;perforarse;ser perforado;sacarle a uno dinero con maña
ñembokupi'i || a || formarse;desarrollarse las termites;formarse caries
ñembokurusu || a || hacerse la cruz;ponerse;colocarse uno la cruz
ñembope || a || aplastarse;tumbarse;agacharse;aplanarse;achatarse
ñembopia || a || hacerse desviar;hacerse fugar
ñembopiro'ysã || a || refrescarse;tomar el fresco
ñembopiru || a || enflaquecerse;adelgazarse;secarse
ñembopo'i || a || adelgazarse;adelgazar;achicarse;ailarse;acobardarse
ñembopochy || a || simular ira;fingir enojo;enojarse
ñembopohýi || a || acostarse con otro;procurarse un compañero;hacerse compañia en la cama;hacerse pesado;pesarse
ñembopopegua || a || propinarse;gratificarse;premiarse
ñembopopo || a || hacer rebotar
ñembopu || a || tocarse algún instrumento o alguna pieza musical
ñembopy'aguasu || a || hacerse valiente;envalentonarse
ñembopy'ambarete || a || envalentonarse;cobrar fortaleza de ánimo;reanimarse;hacerse fuerte
ñembopy'apeteĩ || a || resolverse;hacer un propósito;resoluciónarse;determinarse;proponerse;decidirse
ñembopy'araku || a || acalorarse;apasionarse;entusiasmarse;enardecerse;encolerizarse
ñembopy'i || a || estrecharse;apretarse;ajustarse
ñembopya'e/ñembopyaĝe || a || apresurarse;acelerarse;darse prisa;ser o ir rápido
ñembopyahu || a || renovarse;remozarse;rejuvenecerse;tomar neologismos
ñembopyka'i/ñembopychi'ĩ || a || estrecharse;angostarse;apretarse;ajustarse
